team,city,nickname,league,division,season,home_attend,runs_scored,runs_allowed,wins,losses,games_behind
BAL,Baltimore,Orioles,AL,East,1982,1613031,774,687,94,68,1
BAL,Baltimore,Orioles,AL,East,1983,2042071,799,652,98,64,0
BAL,Baltimore,Orioles,AL,East,1984,2045784,681,667,85,77,19
BAL,Baltimore,Orioles,AL,East,1985,2132387,818,764,83,78,16
BAL,Baltimore,Orioles,AL,East,1986,1973176,708,760,73,89,22.5
BAL,Baltimore,Orioles,AL,East,1987,1835692,729,880,67,95,31
BAL,Baltimore,Orioles,AL,East,1988,1660738,550,789,54,107,34.5
BAL,Baltimore,Orioles,AL,East,1989,2535208,708,686,87,75,2
BAL,Baltimore,Orioles,AL,East,1990,2415189,669,698,76,85,11.5
BAL,Baltimore,Orioles,AL,East,1991,2552753,686,796,67,95,24
BAL,Baltimore,Orioles,AL,East,1992,3567819,705,656,89,73,7
BAL,Baltimore,Orioles,AL,East,1993,3644965,786,745,85,77,10
BAL,Baltimore,Orioles,AL,East,1994,2535359,589,497,63,49,6.5
BAL,Baltimore,Orioles,AL,East,1995,3098475,704,640,71,73,15
BAL,Baltimore,Orioles,AL,East,1996,3646950,949,903,88,74,4
BAL,Baltimore,Orioles,AL,East,1997,3711132,812,681,98,64,0
BAL,Baltimore,Orioles,AL,East,1998,3685194,817,785,79,83,35
BAL,Baltimore,Orioles,AL,East,1999,3433150,851,815,78,84,20
BAL,Baltimore,Orioles,AL,East,2000,3295128,794,913,74,88,13.5
BOS,Boston,Red Sox,AL,East,1969,1833246,743,736,87,75,22
BOS,Boston,Red Sox,AL,East,1970,1595278,786,722,87,75,21
BOS,Boston,Red Sox,AL,East,1971,1678732,691,667,85,77,18
BOS,Boston,Red Sox,AL,East,1972,1441718,640,620,85,70,0.5
BOS,Boston,Red Sox,AL,East,1973,1481002,738,647,89,73,8
BOS,Boston,Red Sox,AL,East,1974,1556411,696,661,84,78,7
BOS,Boston,Red Sox,AL,East,1975,1748587,796,709,95,65,0
BOS,Boston,Red Sox,AL,East,1976,1895846,716,660,83,79,15.5
BOS,Boston,Red Sox,AL,East,1977,2074549,859,712,97,64,2.5
BOS,Boston,Red Sox,AL,East,1978,2320643,796,657,99,64,1
BOS,Boston,Red Sox,AL,East,1979,2353114,841,711,91,69,11.5
BOS,Boston,Red Sox,AL,East,1980,1956092,757,767,83,77,19
BOS,Boston,Red Sox,AL,East,1981,1060379,519,481,59,49,2.5
BOS,Boston,Red Sox,AL,East,1982,1950124,753,713,89,73,6
BOS,Boston,Red Sox,AL,East,1983,1782285,724,775,78,84,20
BOS,Boston,Red Sox,AL,East,1984,1661618,810,764,86,76,18
BOS,Boston,Red Sox,AL,East,1985,1786633,800,720,81,81,18.5
BOS,Boston,Red Sox,AL,East,1986,2147641,794,696,95,66,0
BOS,Boston,Red Sox,AL,East,1987,2231551,842,825,78,84,20
BOS,Boston,Red Sox,AL,East,1988,2464851,813,689,89,73,0
BOS,Boston,Red Sox,AL,East,1989,2510012,774,735,83,79,6
BOS,Boston,Red Sox,AL,East,1990,2528986,699,664,88,74,0
BOS,Boston,Red Sox,AL,East,1991,2562435,731,712,84,78,7
BOS,Boston,Red Sox,AL,East,1992,2468574,599,669,73,89,23
BOS,Boston,Red Sox,AL,East,1993,2422021,686,698,80,82,15
BOS,Boston,Red Sox,AL,East,1994,1775818,552,621,54,61,17
BOS,Boston,Red Sox,AL,East,1995,2164410,791,698,86,58,0
BOS,Boston,Red Sox,AL,East,1996,2315231,928,921,85,77,7
BOS,Boston,Red Sox,AL,East,1997,2226136,851,857,78,84,20
BOS,Boston,Red Sox,AL,East,1998,2343947,876,729,92,70,22
BOS,Boston,Red Sox,AL,East,1999,2446162,836,718,94,68,4
BOS,Boston,Red Sox,AL,East,2000,2586032,792,745,85,77,2.5
CAL,California,Angels,AL,West,1969,758388,528,652,71,91,26
CAL,California,Angels,AL,West,1970,1077741,631,630,86,76,12
CAL,California,Angels,AL,West,1971,926373,511,576,76,86,25.5
CAL,California,Angels,AL,West,1972,744190,454,533,75,80,18
CAL,California,Angels,AL,West,1973,1058206,629,657,79,83,15
CAL,California,Angels,AL,West,1974,917269,618,657,68,94,22
CAL,California,Angels,AL,West,1975,1058163,628,723,72,89,25.5
CAL,California,Angels,AL,West,1976,1006774,550,631,76,86,14
CAL,California,Angels,AL,West,1977,1432633,675,695,74,88,28
CAL,California,Angels,AL,West,1978,1755386,691,666,87,75,5
CAL,California,Angels,AL,West,1979,2523575,866,768,88,74,0
CAL,California,Angels,AL,West,1980,2297327,698,797,65,95,31
CAL,California,Angels,AL,West,1981,1441545,476,453,51,59,13.5
CAL,California,Angels,AL,West,1982,2807360,814,670,93,69,0
CAL,California,Angels,AL,West,1983,2555016,722,779,70,92,29
CAL,California,Angels,AL,West,1984,2402997,696,697,81,81,3
CAL,California,Angels,AL,West,1985,2567427,732,703,90,72,1
CAL,California,Angels,AL,West,1986,2655872,786,684,92,70,0
CAL,California,Angels,AL,West,1987,2696299,770,803,75,87,10
CAL,California,Angels,AL,West,1988,2340925,714,771,75,87,29
CAL,California,Angels,AL,West,1989,2647291,669,578,91,71,8
CAL,California,Angels,AL,West,1990,2555688,690,706,80,82,23
CAL,California,Angels,AL,West,1991,2416236,653,649,81,81,14
CAL,California,Angels,AL,West,1992,2065444,579,671,72,90,24
CAL,California,Angels,AL,West,1993,2057460,684,770,71,91,26
CAL,California,Angels,AL,West,1994,1512622,543,660,47,68,5.5
CAL,California,Angels,AL,West,1995,1748680,801,697,78,67,1
CAL,California,Angels,AL,West,1996,1820521,762,943,70,91,19.5
CHA,Chicago A,White Sox,AL,West,1969,589546,625,723,68,94,29
CHA,Chicago A,White Sox,AL,West,1970,495355,633,822,56,106,42
CHA,Chicago A,White Sox,AL,West,1971,833891,617,597,79,83,22.5
CHA,Chicago A,White Sox,AL,West,1972,1177318,566,538,87,67,5.5
CHA,Chicago A,White Sox,AL,West,1973,1302527,652,705,77,85,17
CHA,Chicago A,White Sox,AL,West,1974,1149596,684,721,80,80,9
CHA,Chicago A,White Sox,AL,West,1975,750802,655,703,75,86,22.5
CHA,Chicago A,White Sox,AL,West,1976,914945,586,745,64,97,25.5
CHA,Chicago A,White Sox,AL,West,1977,1657135,844,771,90,72,12
CHA,Chicago A,White Sox,AL,West,1978,1491100,634,731,71,90,20.5
CHA,Chicago A,White Sox,AL,West,1979,1280702,730,748,73,87,14
CHA,Chicago A,White Sox,AL,West,1980,1200365,587,722,70,90,26
CHA,Chicago A,White Sox,AL,West,1981,946651,476,423,54,52,8.5
CHA,Chicago A,White Sox,AL,West,1982,1567787,786,710,87,75,6
CHA,Chicago A,White Sox,AL,West,1983,2132821,800,650,99,63,0
CHA,Chicago A,White Sox,AL,West,1984,2136988,679,736,74,88,10
CHA,Chicago A,White Sox,AL,West,1985,1669888,736,720,85,77,6
CHA,Chicago A,White Sox,AL,West,1986,1424313,644,699,72,90,20
CHA,Chicago A,White Sox,AL,West,1987,1208060,748,746,77,85,8
CHA,Chicago A,White Sox,AL,West,1988,1115749,631,757,71,90,32.5
CHA,Chicago A,White Sox,AL,West,1989,1045651,693,750,69,92,29.5
CHA,Chicago A,White Sox,AL,West,1990,2002357,682,633,94,68,9
CHA,Chicago A,White Sox,AL,West,1991,2934154,758,681,87,75,8
CHA,Chicago A,White Sox,AL,West,1992,2681156,738,690,86,76,10
CHA,Chicago A,White Sox,AL,West,1993,2581091,776,664,94,68,0
CHA,Chicago A,White Sox,AL,Cent,1994,1697398,633,498,67,46,0
CHA,Chicago A,White Sox,AL,Cent,1995,1609773,755,758,68,76,32
CHA,Chicago A,White Sox,AL,Cent,1996,1676403,898,794,85,77,14.5
CHA,Chicago A,White Sox,AL,Cent,1997,1864782,779,833,80,81,6
CHA,Chicago A,White Sox,AL,Cent,1998,1391146,861,931,80,82,9
CHA,Chicago A,White Sox,AL,Cent,1999,1338851,777,870,75,86,21.5
CHA,Chicago A,White Sox,AL,Cent,2000,1947799,978,839,95,67,0
CHN,Chicago N,Cubs,NL,East,1969,1674993,720,611,92,70,8
CHN,Chicago N,Cubs,NL,East,1970,1642705,806,679,84,78,5
CHN,Chicago N,Cubs,NL,East,1971,1653007,637,648,83,79,14
CHN,Chicago N,Cubs,NL,East,1972,1299163,685,567,85,70,11
CHN,Chicago N,Cubs,NL,East,1973,1351705,614,655,77,84,5
CHN,Chicago N,Cubs,NL,East,1974,1015378,669,826,66,96,22
CHN,Chicago N,Cubs,NL,East,1975,1034819,712,827,75,87,17.5
CHN,Chicago N,Cubs,NL,East,1976,1026217,611,728,75,87,26
CHN,Chicago N,Cubs,NL,East,1977,1439834,692,739,81,81,20
CHN,Chicago N,Cubs,NL,East,1978,1525311,664,724,79,83,11
CHN,Chicago N,Cubs,NL,East,1979,1648587,706,707,80,82,18
CHN,Chicago N,Cubs,NL,East,1980,1206776,614,728,64,98,27
CHN,Chicago N,Cubs,NL,East,1981,565637,370,483,38,65,21.5
CHN,Chicago N,Cubs,NL,East,1982,1249278,676,709,73,89,19
CHN,Chicago N,Cubs,NL,East,1983,1479717,701,719,71,91,19
CHN,Chicago N,Cubs,NL,East,1984,2107655,762,658,96,65,0
CHN,Chicago N,Cubs,NL,East,1985,2161534,686,729,77,84,23.5
CHN,Chicago N,Cubs,NL,East,1986,1859102,680,781,70,90,37
CHN,Chicago N,Cubs,NL,East,1987,2035130,720,801,76,85,18.5
CHN,Chicago N,Cubs,NL,East,1988,2089034,660,694,77,85,24
CHN,Chicago N,Cubs,NL,East,1989,2491942,702,623,93,69,0
CHN,Chicago N,Cubs,NL,East,1990,2243791,690,774,77,85,18
CHN,Chicago N,Cubs,NL,East,1991,2314250,695,734,77,83,20
CHN,Chicago N,Cubs,NL,East,1992,2126720,593,624,78,84,18
CHN,Chicago N,Cubs,NL,East,1993,2653763,738,739,84,78,13
CHN,Chicago N,Cubs,NL,Cent,1994,1845208,500,549,49,64,16.5
CHN,Chicago N,Cubs,NL,Cent,1995,1918265,693,671,73,71,12
CHN,Chicago N,Cubs,NL,Cent,1996,2219110,772,771,76,86,12
CHN,Chicago N,Cubs,NL,Cent,1997,2190308,687,759,68,94,16
CHN,Chicago N,Cubs,NL,Cent,1998,2623000,831,792,90,73,12.5
CHN,Chicago N,Cubs,NL,Cent,1999,2813854,747,920,67,95,30
CHN,Chicago N,Cubs,NL,Cent,2000,2789511,764,904,65,97,30
CIN,Cincinnati,Reds,NL,West,1969,987991,798,768,89,73,4
CIN,Cincinnati,Reds,NL,West,1970,1803568,775,681,102,60,0
CIN,Cincinnati,Reds,NL,West,1971,1501122,586,581,79,83,11
CIN,Cincinnati,Reds,NL,West,1972,1611459,707,557,95,59,0
CIN,Cincinnati,Reds,NL,West,1973,2017601,741,621,99,63,0
CIN,Cincinnati,Reds,NL,West,1974,2164307,776,631,98,64,4
CIN,Cincinnati,Reds,NL,West,1975,2315603,840,586,108,54,0
CIN,Cincinnati,Reds,NL,West,1976,2629708,857,633,102,60,0
CIN,Cincinnati,Reds,NL,West,1977,2519670,802,725,88,74,10
CIN,Cincinnati,Reds,NL,West,1978,2532497,710,688,92,69,2.5
CIN,Cincinnati,Reds,NL,West,1979,2356933,731,644,90,71,0
CIN,Cincinnati,Reds,NL,West,1980,2022450,707,670,89,73,3.5
CIN,Cincinnati,Reds,NL,West,1981,1093730,464,440,66,42,0
CIN,Cincinnati,Reds,NL,West,1982,1326528,545,661,61,101,28
CIN,Cincinnati,Reds,NL,West,1983,1190419,623,710,74,88,17
CIN,Cincinnati,Reds,NL,West,1984,1275887,627,747,70,92,22
CIN,Cincinnati,Reds,NL,West,1985,1834619,677,666,89,72,5.5
CIN,Cincinnati,Reds,NL,West,1986,1692432,732,717,86,76,10
CIN,Cincinnati,Reds,NL,West,1987,2185205,783,752,84,78,6
CIN,Cincinnati,Reds,NL,West,1988,2072528,641,596,87,74,7
CIN,Cincinnati,Reds,NL,West,1989,1979320,632,691,75,87,17
CIN,Cincinnati,Reds,NL,West,1990,2400892,693,597,91,71,0
CIN,Cincinnati,Reds,NL,West,1991,2372377,689,691,74,88,20
CIN,Cincinnati,Reds,NL,West,1992,2315946,660,609,90,72,8
CIN,Cincinnati,Reds,NL,West,1993,2453232,722,785,73,89,31
CIN,Cincinnati,Reds,NL,Cent,1994,1897681,609,490,66,48,0
CIN,Cincinnati,Reds,NL,Cent,1995,1837649,747,623,85,59,0
CIN,Cincinnati,Reds,NL,Cent,1996,1861428,778,773,81,81,7
CIN,Cincinnati,Reds,NL,Cent,1997,1785788,651,764,76,86,8
CIN,Cincinnati,Reds,NL,Cent,1998,1793679,750,760,77,85,25
CIN,Cincinnati,Reds,NL,Cent,1999,2061222,865,711,96,67,1.5
CIN,Cincinnati,Reds,NL,Cent,2000,2577351,825,765,85,77,10
CLE,Cleveland,Indians,AL,East,1969,619970,573,717,62,99,46.5
CLE,Cleveland,Indians,AL,East,1970,729752,649,675,76,86,32
CLE,Cleveland,Indians,AL,East,1971,591361,543,747,60,102,43
CLE,Cleveland,Indians,AL,East,1972,626354,472,519,72,84,14
CLE,Cleveland,Indians,AL,East,1973,615107,680,826,71,91,26
CLE,Cleveland,Indians,AL,East,1974,1114262,662,694,77,85,14
CLE,Cleveland,Indians,AL,East,1975,977039,688,703,79,80,15.5
CLE,Cleveland,Indians,AL,East,1976,948776,615,615,81,78,16
CLE,Cleveland,Indians,AL,East,1977,900365,676,739,71,90,28.5
CLE,Cleveland,Indians,AL,East,1978,800584,639,694,69,90,29
CLE,Cleveland,Indians,AL,East,1979,1011644,760,805,81,80,22
CLE,Cleveland,Indians,AL,East,1980,1033827,738,807,79,81,23
CLE,Cleveland,Indians,AL,East,1981,661395,431,442,52,51,7
CLE,Cleveland,Indians,AL,East,1982,1044021,683,748,78,84,17
CLE,Cleveland,Indians,AL,East,1983,768941,704,785,70,92,28
CLE,Cleveland,Indians,AL,East,1984,734079,761,766,75,86,29
CLE,Cleveland,Indians,AL,East,1985,655181,729,861,60,102,39.5
CLE,Cleveland,Indians,AL,East,1986,1471805,831,841,84,78,11.5
CLE,Cleveland,Indians,AL,East,1987,1077898,742,957,61,101,37
CLE,Cleveland,Indians,AL,East,1988,1411610,666,731,78,84,11
CLE,Cleveland,Indians,AL,East,1989,1285542,604,654,73,89,16
CLE,Cleveland,Indians,AL,East,1990,1225240,732,737,77,85,11
CLE,Cleveland,Indians,AL,East,1991,1051863,576,759,57,105,34
CLE,Cleveland,Indians,AL,East,1992,1224094,674,746,76,86,20
CLE,Cleveland,Indians,AL,East,1993,2177908,790,813,76,86,19
CLE,Cleveland,Indians,AL,Cent,1994,1995174,679,562,66,47,1
CLE,Cleveland,Indians,AL,Cent,1995,2842745,840,607,100,44,0
CLE,Cleveland,Indians,AL,Cent,1996,3318174,952,769,99,62,0
CLE,Cleveland,Indians,AL,Cent,1997,3404750,868,815,86,75,0
CLE,Cleveland,Indians,AL,Cent,1998,3467299,850,779,89,73,0
CLE,Cleveland,Indians,AL,Cent,1999,3468456,1009,860,97,65,0
CLE,Cleveland,Indians,AL,Cent,2000,3456278,950,816,90,72,5
COL,Colorado,Rockies,NL,West,1993,4483350,758,967,67,95,37
COL,Colorado,Rockies,NL,West,1994,3281511,573,638,53,64,6.5
COL,Colorado,Rockies,NL,West,1995,3390037,785,783,77,67,1
COL,Colorado,Rockies,NL,West,1996,3891014,961,964,83,79,8
COL,Colorado,Rockies,NL,West,1997,3888453,923,908,83,79,7
COL,Colorado,Rockies,NL,West,1998,3789347,923,908,83,79,7
COL,Colorado,Rockies,NL,West,1999,3481065,906,1028,72,90,28
COL,Colorado,Rockies,NL,West,2000,3285710,968,897,82,80,15
DET,Detroit,Tigers,AL,East,1969,1577481,701,601,90,72,19
DET,Detroit,Tigers,AL,East,1970,1501293,666,731,79,83,29
DET,Detroit,Tigers,AL,East,1971,1591073,701,645,91,71,12
DET,Detroit,Tigers,AL,East,1972,1892386,558,514,86,70,0
DET,Detroit,Tigers,AL,East,1973,1724146,642,674,85,77,12
DET,Detroit,Tigers,AL,East,1974,1243080,620,768,72,90,19
DET,Detroit,Tigers,AL,East,1975,1058836,570,786,57,102,37.5
DET,Detroit,Tigers,AL,East,1976,1467020,609,709,74,87,24
DET,Detroit,Tigers,AL,East,1977,1359856,714,751,74,88,26
DET,Detroit,Tigers,AL,East,1978,1714893,714,653,86,76,13.5
DET,Detroit,Tigers,AL,East,1979,1630929,770,738,85,76,18
DET,Detroit,Tigers,AL,East,1980,1785293,830,757,84,78,19
DET,Detroit,Tigers,AL,East,1981,1149144,427,404,60,49,2
DET,Detroit,Tigers,AL,East,1982,1636058,729,685,83,79,12
DET,Detroit,Tigers,AL,East,1983,1829636,789,679,92,70,6
DET,Detroit,Tigers,AL,East,1984,2704794,829,643,104,58,0
DET,Detroit,Tigers,AL,East,1985,2286609,729,688,84,77,15
DET,Detroit,Tigers,AL,East,1986,1899437,798,714,87,75,8.5
DET,Detroit,Tigers,AL,East,1987,2061830,896,735,98,64,0
DET,Detroit,Tigers,AL,East,1988,2081162,703,658,88,74,1
DET,Detroit,Tigers,AL,East,1989,1543656,617,816,59,103,30
DET,Detroit,Tigers,AL,East,1990,1495785,750,754,79,83,9
DET,Detroit,Tigers,AL,East,1991,1641661,817,794,84,78,7
DET,Detroit,Tigers,AL,East,1992,1423963,791,794,75,87,21
DET,Detroit,Tigers,AL,East,1993,1971421,899,837,85,77,10
DET,Detroit,Tigers,AL,East,1994,1184783,652,671,53,62,15
DET,Detroit,Tigers,AL,East,1995,1180979,654,844,60,84,26
DET,Detroit,Tigers,AL,East,1996,1168610,783,1103,53,109,39
DET,Detroit,Tigers,AL,East,1997,1365157,784,790,79,83,19
DET,Detroit,Tigers,AL,East,1998,1409391,722,863,65,97,24
DET,Detroit,Tigers,AL,East,1999,2026441,747,882,69,92,27.5
DET,Detroit,Tigers,AL,East,2000,2533752,823,827,79,83,16
FL,Florida,Marlins,NL,East,1993,3064847,581,724,64,98,33
FL,Florida,Marlins,NL,East,1994,1937467,468,576,51,64,23.5
FL,Florida,Marlins,NL,East,1995,1700466,673,673,67,76,22.5
FL,Florida,Marlins,NL,East,1996,1746767,688,703,80,82,16
FL,Florida,Marlins,NL,East,1997,2364387,740,669,92,70,9
FL,Florida,Marlins,NL,East,1998,1750395,667,923,54,108,52
FL,Florida,Marlins,NL,East,1999,1369421,691,852,64,98,39
FL,Florida,Marlins,NL,East,2000,1218326,731,797,79,82,15.5
HOU,Houston,Astros,NL,West,1969,1442995,676,668,81,81,12
HOU,Houston,Astros,NL,West,1970,1253444,744,763,79,83,23
HOU,Houston,Astros,NL,West,1971,1261589,585,567,79,83,11
HOU,Houston,Astros,NL,West,1972,1469247,708,636,84,69,10.5
HOU,Houston,Astros,NL,West,1973,1394004,681,672,82,80,17
HOU,Houston,Astros,NL,West,1974,1090728,653,632,81,81,21
HOU,Houston,Astros,NL,West,1975,858002,664,711,64,97,43.5
HOU,Houston,Astros,NL,West,1976,886146,625,657,80,82,22
HOU,Houston,Astros,NL,West,1977,1109560,680,650,81,81,17
HOU,Houston,Astros,NL,West,1978,1126145,605,634,74,88,21
HOU,Houston,Astros,NL,West,1979,1900312,583,582,89,73,1.5
HOU,Houston,Astros,NL,West,1980,2278217,637,589,93,70,0
HOU,Houston,Astros,NL,West,1981,1321282,394,331,61,49,6
HOU,Houston,Astros,NL,West,1982,1558555,569,620,77,85,12
HOU,Houston,Astros,NL,West,1983,1351962,643,646,85,77,6
HOU,Houston,Astros,NL,West,1984,1229862,690,630,80,82,12
HOU,Houston,Astros,NL,West,1985,1184314,706,691,83,79,12
HOU,Houston,Astros,NL,West,1986,1734276,654,569,96,66,0
HOU,Houston,Astros,NL,West,1987,1909902,648,678,76,86,14
HOU,Houston,Astros,NL,West,1988,1933505,617,631,82,80,12.5
HOU,Houston,Astros,NL,West,1989,1834908,647,669,86,76,6
HOU,Houston,Astros,NL,West,1990,1310927,573,656,75,87,16
HOU,Houston,Astros,NL,West,1991,1196152,605,717,65,97,29
HOU,Houston,Astros,NL,West,1992,1211412,608,668,81,81,17
HOU,Houston,Astros,NL,West,1993,2084546,716,630,85,77,19
HOU,Houston,Astros,NL,Cent,1994,1561136,602,503,66,49,0.5
HOU,Houston,Astros,NL,Cent,1995,1363801,747,674,76,68,9
HOU,Houston,Astros,NL,Cent,1996,1975888,753,792,82,80,6
HOU,Houston,Astros,NL,Cent,1997,2046781,777,660,84,78,0
HOU,Houston,Astros,NL,Cent,1998,2450451,874,620,102,60,0
HOU,Houston,Astros,NL,Cent,1999,2706017,823,675,97,65,0
HOU,Houston,Astros,NL,Cent,2000,3056139,938,944,72,90,23
KC,Kansas City,Royals,AL,West,1969,902414,586,688,69,93,28
KC,Kansas City,Royals,AL,West,1970,693047,611,705,65,97,33
KC,Kansas City,Royals,AL,West,1971,910784,603,566,85,76,16
KC,Kansas City,Royals,AL,West,1972,707656,580,545,76,78,16.5
KC,Kansas City,Royals,AL,West,1973,1345341,755,752,88,74,6
KC,Kansas City,Royals,AL,West,1974,1173292,667,662,77,85,13
KC,Kansas City,Royals,AL,West,1975,1151836,710,649,91,71,7
KC,Kansas City,Royals,AL,West,1976,1680265,713,611,90,72,0
KC,Kansas City,Royals,AL,West,1977,1852603,822,651,102,60,0
KC,Kansas City,Royals,AL,West,1978,2255493,743,634,92,70,0
KC,Kansas City,Royals,AL,West,1979,2261845,851,816,85,77,3
KC,Kansas City,Royals,AL,West,1980,2288714,809,694,97,65,0
KC,Kansas City,Royals,AL,West,1981,1279403,397,405,50,53,11
KC,Kansas City,Royals,AL,West,1982,2284464,784,717,90,72,3
KC,Kansas City,Royals,AL,West,1983,1963875,696,767,79,93,20
KC,Kansas City,Royals,AL,West,1984,1810018,673,686,84,78,0
KC,Kansas City,Royals,AL,West,1985,2162717,687,639,91,71,0
KC,Kansas City,Royals,AL,West,1986,2320794,654,673,76,86,16
KC,Kansas City,Royals,AL,West,1987,2392471,715,691,83,79,2
KC,Kansas City,Royals,AL,West,1988,2350181,704,648,84,77,19.5
KC,Kansas City,Royals,AL,West,1989,2477700,690,635,92,70,7
KC,Kansas City,Royals,AL,West,1990,2244956,707,709,75,86,27.5
KC,Kansas City,Royals,AL,West,1991,2161537,727,722,82,80,13
KC,Kansas City,Royals,AL,West,1992,1867689,610,667,72,90,24
KC,Kansas City,Royals,AL,West,1993,1934578,675,694,84,78,10
KC,Kansas City,Royals,AL,Cent,1994,1400494,574,532,64,51,4
KC,Kansas City,Royals,AL,Cent,1995,1233530,629,691,70,74,30
KC,Kansas City,Royals,AL,Cent,1996,1435997,746,786,75,86,24
KC,Kansas City,Royals,AL,Cent,1997,1517638,747,820,67,94,19
KC,Kansas City,Royals,AL,Cent,1998,1494875,714,899,72,89,16.5
KC,Kansas City,Royals,AL,Cent,1999,1506068,856,921,64,97,32.5
KC,Kansas City,Royals,AL,Cent,2000,1677915,879,930,77,85,18
LA,Los Angeles,Dodgers,NL,West,1969,1784527,645,561,85,77,8
LA,Los Angeles,Dodgers,NL,West,1970,1697142,749,684,87,74,14.5
LA,Los Angeles,Dodgers,NL,West,1971,2064594,663,587,89,73,1
LA,Los Angeles,Dodgers,NL,West,1972,1860858,584,527,85,70,10.5
LA,Los Angeles,Dodgers,NL,West,1973,2136192,675,565,95,66,3.5
LA,Los Angeles,Dodgers,NL,West,1974,2632474,798,561,102,60,0
LA,Los Angeles,Dodgers,NL,West,1975,2539349,648,534,88,74,20
LA,Los Angeles,Dodgers,NL,West,1976,2386301,608,543,92,70,10
LA,Los Angeles,Dodgers,NL,West,1977,2955087,769,582,98,64,0
LA,Los Angeles,Dodgers,NL,West,1978,3347845,727,573,95,67,0
LA,Los Angeles,Dodgers,NL,West,1979,2860954,739,717,79,83,11.5
LA,Los Angeles,Dodgers,NL,West,1980,3249287,663,591,92,71,1
LA,Los Angeles,Dodgers,NL,West,1981,2381292,450,356,63,47,4
